,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES ? use \n for newline,max length
mat_rock_vault,vault rock,камень убежища,rocha de cofre,roca acorazada,Gewolbefels,pierre de coffre-fort,拱?石,?曲岩,금고 바위,,,,
mat_coal_static,coal vein,угольный пласт,veio de carvao,veta de carbon,Kohleader,veine de charbon,煤???,石炭?脈,석탄 광맥,,,,
mat_rock_static_grey,grey rock,серый камень,rocha cinza,roca gris,grauer Fels,pierre grise,灰色岩石,灰色の岩,회색 바위,,,,
mat_rock_static_radioactive,toxic rock,радиоактивный камень,rocha toxica,roca toxica,toxischer Fels,pierre toxique,附有毒液的岩石,猛毒の岩,독성 바위,,,,
mat_rock_static_poison,poisonous rock,ядовитый камень,rocha venenosa,roca venenosa,giftiger Fels,pierre empoisonnee,有毒岩石,毒の岩,독극물 바위,,,,
mat_skullrock,hell rock,адский камень,rocha infernal,roca infernal,Hollenfels,pierre infernale,地?岩,地獄の岩,지옥 바위,,,,
mat_rock_static_wet,damp rock,влажный камень,rocha umida,roca humeda,feuchter Fels,pierre humide,潮?岩石,?った岩,축축한 바위,,,,
mat_lavarock_static,volcanic rock,вулканический камень,rocha vulcanica,roca volcanica,vulkanischer Fels,pierre volcanique,火山岩,火山岩,화산 바위,,,,
mat_lava,lava,лава,lava,lava,Lava,lave,岩?,溶岩,용암,,,,
mat_meteorite_static,meteorite,метеорит,meteorito,meteorito,Meteorit,meteorite,?石,隕石,운석,,,,
mat_templerock_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,??,レンガ,벽돌,,,,
mat_templebrick_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,??,レンガ,벽돌,,,,
mat_templebrick_noedge_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,??,レンガ,벽돌,,,,
mat_templebrick_thick_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,??,レンガ,벽돌,,,,
mat_templebrickdark_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,??,レンガ,벽돌,,,,
mat_glowstone,glowing stone,светящийся камень,pedra brilhante,piedra brillante,leuchtender Stein,pierre luisante,?光石,光る石,빛나는 돌,,,,
mat_glowstone_altar,glowing stone,светящийся камень,pedra brilhante,piedra brillante,leuchtender Stein,pierre luisante,?光石,光る石,빛나는 돌,,,,
mat_glowstone_potion,glowing stone,светящийся камень,pedra brilhante,piedra brillante,leuchtender Stein,pierre luisante,?光石,光る石,빛나는 돌,,,,
mat_templebrick_red,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,??,レンガ,벽돌,,,,
mat_templebrick_moss_static,mossy brickwork,мшистый кирпич,alvenaria musgosa,ladrillo musgoso,bemoostes Mauerwerk,briquetage mousseux,苔??,苔むしたレンガ,이끼 벽돌,,,,
mat_the_end,hell rock,адский камень,rocha infernal,roca infernal,Hollenfels,pierre infernale,地?岩,地獄の岩,지옥 바위,,,,
mat_steel_static,steel,сталь,aco,acero,Stahl,acier,?,鋼,강철,,,,
mat_steelmoss_static,mossy steel,мшистая сталь,aco musgoso,acero musgoso,bemooster Stahl,acier mousseux,苔?,苔むした鋼,이끼 강철,,,,
mat_steelmoss_slanted,mossy steel,мшистая сталь,aco musgoso,acero musgoso,bemooster Stahl,acier mousseux,苔?,苔むした鋼,이끼 강철,,,,
mat_steelsmoke_static,smoking steel,дымящаяся сталь,aco fumegante,acero humeante,rauchender Stahl,acier fumant,冒烟的?,煙たい鋼,연기 강철,,,,
mat_steelpipe_static,metal pipe,металлическая труба,cano de metal,tuberia de metal,Metallrohr,barre de metal,?管,?パイプ,금속 파이프,,,,
mat_steel_static_strong,dense steel,плотная сталь,aco denso,acero denso,dichter Stahl,acier dense,高密度?,固い鋼,밀도 높은 강철,,,,
mat_steel_static_unmeltable,hardened steel,закаленная сталь,aco reforcado,acero endurecido,geharteter Stahl,acier durci,硬化?,固まった鋼,단단한 강철,,,,
mat_rock_static_glow,glowing matter,светящаяся материя,materia brilhante,materia brillante,leuchtende Materie,matiere luisante,?光物?,光る物質,빛나는 물질,,,,
mat_snow_static,packed snow,плотный снег,neve compacta,nieve compacta,verdichteter Schnee,neige tassee,??的雪,詰まった雪,뭉친 눈,,,,
mat_ice_static,ice,лед,gelo,hielo,Eis,glace,寒?,氷,얼음,,,,
mat_rock_static_intro_breakable,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_ice_blood_static,frozen blood,замерзшая кровь,sangue congelado,sangre congelada,gefrorenes Blut,sang gele,??的血,凍った血,얼어붙은 피,,,,
mat_ice_acid_static,frozen acid,замерзшая кислота,acido congelado,acido congelado,gefrorene Saure,acide gele,??的酸液,凍った酸,얼어붙은 산,,,,
mat_ice_cold_static,ice,лед,gelo,hielo,Eis,glace,寒?,氷,얼음,,,,
mat_ice_radioactive_static,toxic ice,радиоактивный лед,gelo toxico,hielo toxico,toxisches Eis,glace toxique,毒?,猛毒の氷,독성 얼음,,,,
mat_ice_meteor_static,ice,лед,gelo,hielo,Eis,glace,寒?,氷,얼음,,,,
mat_tubematerial,neon tube,неоновая трубка,tubo de neon,tubo de neon,Neonrohre,tube neon,霓虹?,ネオンチュ?ブ,네온 튜브,,,,
mat_glass_static,glass,стекло,vidro,vidrio,Glas,verre,?璃,ガラス,유리,,,,
mat_waterrock,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_ice_glass,ice,лед,gelo,hielo,Eis,glace,寒?,氷,얼음,,,,
mat_tube_physics,neon tube,неоновая трубка,tubo de neon,tubo de neon,Neonrohre,tube neon,霓虹?,ネオンチュ?ブ,네온 튜브,,,,
mat_ice_acid_glass,frozen acid,замерзшая кислота,acido congelado,acido congelado,gefrorene Saure,acide gele,??的酸液,凍った酸,얼어붙은 산,,,,
mat_ice_cold_glass,ice,лед,gelo,hielo,Eis,glace,寒?,氷,얼음,,,,
mat_ice_radioactive_glass,toxic ice,радиоактивный лед,gelo toxico,hielo toxico,toxisches Eis,glace toxique,毒?,猛毒の氷,독성 얼음,,,,
mat_ice_glass_b2,ice,лед,gelo,hielo,Eis,glace,寒?,氷,얼음,,,,
mat_glass_brittle,brittle glass,хрупкое стекло,vidro fragil,vidrio fragil,bruchiges Glas,verre fragile,易碎?璃,もろいガラス,금 간 유리,,,,
mat_snowrock_static,frozen rock,замерзший камень,rocha congelada,roca congelada,gefrorener Fels,pierre gelee,??岩石,凍った岩,얼어붙은 바위,,,,
mat_concrete_static,concrete,бетон,concreto,hormigon,Beton,beton,混凝土,コンクリ?ト,콘크리트,,,,
mat_wood_static,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_wood_static_wet,damp wood,влажное дерево,madeira umida,madera humeda,feuchtes Holz,bois humide,潮?木材,?った木材,축축한 목재,,,,
mat_creepy_liquid_emitter,brick wall,кирпичная стена,parede de tijolo,muro de ladrillo,Ziegelmauer,mur de briques,??,レンガの壁,벽돌 벽,,,,
mat_gold_static,gold vein,золотая жила,veio de ouro,veta de oro,Goldader,veine d'or,金???,?金?脈,금 광맥,,,,
mat_gold_static_dark,vibrant gold vein,яркая золотая жила,veio de ouro vibrante,veta de oro brillante,pulsierende Goldader,veine d'or ardente,醒目的金???,活力ある?金?脈,선명한 금 광맥,,,,
mat_wood_static_vertical,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_wood_static_gas,pressurized wood,дерево под давлением,madeira pressurizada,madera presurizada,komprimiertes Holz,bois pressurise,耐?木材,加?された木材,압착 목재,,,,
mat_corruption_static,corrupted rock,поврежденный камень,rocha corrompida,roca corrupta,bruchiger Fels,pierre corrompue,崩?的岩石,?れた岩,썩은 바위,,,,
mat_smoke,smoke,дым,fumaca,humo,Rauch,fumee,烟,煙,연기,,,,
mat_smoke_explosion,smoke,дым,fumaca,humo,Rauch,fumee,烟,煙,연기,,,,
mat_steam,steam,пар,vapor,vapor,Dampf,vapeur,蒸汽,蒸?,증기,,,,
mat_acid_gas,flammable gas,горючий газ,gas inflamavel,gas inflamable,entflammbares Gas,gaz inflammable,可燃??,引火性ガス,인화성 기체,,,,
mat_acid_gas_static,flammable gas,горючий газ,gas inflamavel,gas inflamable,entflammbares Gas,gaz inflammable,可燃??,引火性ガス,인화성 기체,,,,
mat_smoke_static,smoke,дым,fumaca,humo,Rauch,fumee,烟,煙,연기,,,,
mat_poison_gas,poison gas,ядовитый газ,gas venenoso,gas venenoso,Giftgas,gaz empoisonne,毒?,有毒ガス,독가스,,,,
mat_fungal_gas,fungal gas,грибной газ,gas fungico,gas de hongos,Pilzgas,gaz fongique,?菌??,?菌ガス,곰팡이 가스,,,,
mat_blood_cold_vapour,freezing vapour,замораживающее испарение,vapor congelante,vapor congelante,gefrierender Dampf,vapeur de gel,?冷蒸汽,凍結?化ガス,얼어붙은 증기,,,,
mat_sand_herb_vapour,funky vapour,вонючее испарение,vapor estranho,vapor raro,merkwurdiger Dampf,vapeur deglingo,迷幻蒸汽,ファンキ?な?化ガス,곰팡이 증기,,,,
mat_radioactive_gas,toxic gas,радиоактивный газ,gas toxico,gas toxico,toxisches Gas,gaz toxique,毒液??,猛毒ガス,독성 가스,,,,
mat_radioactive_gas_static,toxic gas,радиоактивный газ,gas toxico,gas toxico,toxisches Gas,gaz toxique,毒液??,猛毒ガス,독성 가스,,,,
mat_water,Water,Вода,Agua,Agua,Wasser,Eau,水,水,물,Vesi,,,
mat_water_fading,Water,Вода,Agua,Agua,Wasser,Eau,水,水,물,,,,
mat_water_salt,brine,соленая вода,salmoura,salmuera,Sole,saumure,?水,海水,저장수,,,,
mat_water_temp,Water,Вода,Agua,Agua,Wasser,Eau,水,水,물,,,,
mat_water_ice,chilly water,холодная вода,agua gelada,agua fria,kaltes Wasser,eau froide,?水,冷たい水,차가운 물,,,,
mat_water_swamp,swamp,болото,pantano,pantano,Sumpf,marais,沼?,溜池,늪,,,,
mat_oil,oil,нефть,petroleo,aceite,Ol,huile,油,オイル,기름,,,,
mat_liquid_fire_weak,liquid fire,жидкий огонь,fogo liquido,fuego liquido,flussiges Feuer,feu liquide,液?燃??,液火,액체 화염,,,,
mat_alcohol,whiskey,виски,uisque,whisky,Whiskey,whiskey,威士忌,ウイスキ?,위스키,,,,
mat_midas_precursor,alchemic precursor,алхимический прекурсор,precursor alquimico,precursor alquimico,alchemistische Vorstufe,precurseur alchimique,?金溶液,?金術の先?者,연금술 물질,,,,
mat_midas,draught of midas,глоток Мидаса,trago de midas,brebaje de Midas,Midas-Schluck,gorgee de Midas,点金之水,ミダスの設計?,마이다스의 약,,,,
mat_magic_liquid,gate-opener,открытие ворот,abre-portao,abridorium,Toroffner,ouvreur de porte,??魔?,門番,문따개,,,,
mat_magic_liquid_teleportation,teleportatium,телепортиум,liquido de teletransporte,teleportatium,Teleportatium,teleportatium,?送基?,テレポ?タチアム,텔레포타슘,,,,
mat_magic_liquid_hp_regeneration,healthium,лечиниум,liquido de saude,sanatorium,Lebentium,santium,生命基?,ヘルシアム,건강슘,,,,
mat_magic_liquid_hp_regeneration_unstable,lively concoction,живой концентрат,mistura vivida,mejunje regenerador,lebhaftes Gebrau,decoction vivace,活?混合物,活?な調合,생기의 혼합물,,,,
mat_magic_liquid_polymorph,polymorphine,полиморфин,polimorfina,polimorfina,Polymorphin,polymorphine,?形魔?,多形性型,변신모르핀,,,,
mat_magic_liquid_random_polymorph,chaotic polymorphine,хаотический полиморфин,polimorfina caotica,polimorfina caotica,chaotisches Polymorphin,polymorphine chaotique,混??形魔?,カオスな多形性型,혼돈의 변신모르핀,,,,
mat_magic_liquid_berserk,berserkium,берсеркиум,liquido de furia,berserkium,Berserkium,berserkium,狂暴基?,バ?サ?キアム,버서키움,,,,
mat_magic_liquid_charm,pheromone,феромон,feromonio,feromona,Pheromon,pheromone,?洛蒙,フェロモン,페로몬,,,,
mat_magic_liquid_invisibility,invisiblium,невидиум,liquido de invisibilidade,invisibilium,Unsichtbatium,invisiblium,?形魔?,透明ビリアム,투명슘,,,,
mat_cloud,cloud,облако,nuvem,nube,Wolke,nuage,云,雲,구름,,,,
mat_cloud_radioactive,toxic mist,радиоактивный туман,nevoa toxica,niebla toxica,toxischer Nebel,brouillard toxique,毒?,猛毒ミスト,독안개,,,,
